"pp","task_label","training_phase_label","score","c","pitch_error","te12rescaled","te21rescaled","Training"
"18","Periodic Fixed","PostTest",0.358,0.838,2.369,0.186679193997123,0.702978265320835,"Periodic Fixed"
"18","Periodic Fixed","Retention",0.2638,0.5662,2.1554,-0.0789078887583404,0.848052972547787,"Periodic Fixed"
"19","Chaotic","PreTest",0.1616,0.4032,2.5256,3.68194595125939,1.27707187458496,"Chaotic Non-interactive"
"19","Chaotic","PostTest",0.195,0.415666666666667,2.20433333333333,5.95633578971965,0.330225402470044,"Chaotic Non-interactive"
"19","Chaotic","Retention",0.2296,0.405,1.8198,5.86696598502177,1.06720417418121,"Chaotic Non-interactive"
"19","Chaotic Visual","PreTest",1.6726,0.6164,0.3704,4.87460192841424,1.24954157359658,"Chaotic Non-interactive"
"19","Chaotic Visual","PostTest",1.90866666666667,0.669666666666667,0.351,4.61131284465013,2.14991347806368,"Chaotic Non-interactive"
"19","Chaotic Visual","Retention",1.7752,0.6258,0.353,5.21884470839743,0.673142309768544,"Chaotic Non-interactive"
"19","Periodic Fadeout (SCT)","PreTest",0.2738,0.9344,3.4998,0.780306351344384,-0.131159080227568,"Chaotic Non-interactive"
"19","Periodic Fadeout (SCT)","PostTest",0.382,0.896,2.39066666666667,0.423949396803273,0.183782423536805,"Chaotic Non-interactive"
"19","Periodic Fadeout (SCT)","Retention",0.2898,0.9066,3.1666,-0.207392903728272,-1.15602986055111,"Chaotic Non-interactive"
"19","Periodic Fixed","PreTest",0.4685,0.7765,1.66925,0.014045903295085,0.890512630492107,"Chaotic Non-interactive"
"19","Periodic Fixed","PostTest",0.409,0.827333333333333,2.06033333333333,2.1211050003716,1.1808580305155,"Chaotic Non-interactive"
"19","Periodic Fixed","Retention",0.2798,0.9056,3.2714,1.02779025985249,-0.521017079675768,"Chaotic Non-interactive"
"20","Chaotic","PreTest",0.2168,0.3652,1.7032,3.12105388884297,-0.15695500213024,"Chaotic Non-interactive"
"20","Chaotic","PostTest",0.246666666666667,0.366333333333333,1.50266666666667,3.90709521828433,0.0471293034995424,"Chaotic Non-interactive"
"20","Chaotic","Retention",0.34,0.4222,1.2476,4.51174111728343,0.832893306100678,"Chaotic Non-interactive"
"20","Chaotic Visual","PreTest",1.6468,0.5834,0.3554,4.09919316190591,1.32537033721631,"Chaotic Non-interactive"
"20","Chaotic Visual","PostTest",1.44533333333333,0.516333333333333,0.357,5.36861978867153,1.58778633010874,"Chaotic Non-interactive"
"20","Chaotic Visual","Retention",1.725,0.5972,0.3474,5.75010080994711,1.95650866996685,"Chaotic Non-interactive"
"20","Periodic Fadeout (SCT)","PreTest",0.358,0.8514,2.5688,0.57409074901147,-0.476369760116678,"Chaotic Non-interactive"
"20","Periodic Fadeout (SCT)","PostTest",0.365333333333333,0.903666666666667,2.517,0.419064609839024,-0.96126442714518,"Chaotic Non-interactive"
"20","Periodic Fadeout (SCT)","Retention",0.4014,0.9078,2.287,0.575916331675512,-0.0751774472747492,"Chaotic Non-interactive"
"20","Periodic Fixed","PreTest",0.3566,0.8202,2.3198,-0.415071481470683,-0.740150532997555,"Chaotic Non-interactive"
"20","Periodic Fixed","PostTest",0.358,0.794666666666667,2.25566666666667,0.13815578491939,-0.275868010529082,"Chaotic Non-interactive"
"20","Periodic Fixed","Retention",0.3392,0.6492,1.915,-0.573555077229594,0.0885885976964222,"Chaotic Non-interactive"
"21","Chaotic","PreTest",0.2696,0.4914,1.8272,1.83034614691784,0.248565075022805,"Periodic Fixed"
"21","Chaotic","PostTest",0.419,0.538,1.286,4.07127229025285,1.6415605862806,"Periodic Fixed"
"21","Chaotic","Retention",0.4034,0.5724,1.4718,4.62319344824553,0.967671525715687,"Periodic Fixed"
"21","Chaotic Visual","PreTest",1.366,0.6004,0.4412,3.02338362189689,0.669195596597862,"Periodic Fixed"
"21","Chaotic Visual","PostTest",1.349,0.615333333333333,0.462,5.01832315878757,1.44797866842973,"Periodic Fixed"
"21","Chaotic Visual","Retention",1.6384,0.6052,0.3706,4.8952967376994,1.55985628232842,"Periodic Fixed"
"21","Periodic Fadeout (SCT)","PreTest",0.1802,0.6748,3.8516,-0.567778691188227,-0.186131083418602,"Periodic Fixed"
"21","Periodic Fadeout (SCT)","PostTest",0.190666666666667,0.719333333333333,3.82466666666667,1.72372620098081,0.605437217073744,"Periodic Fixed"
"21","Periodic Fadeout (SCT)","Retention",0.3264,0.8028,2.563,1.47315972866838,0.357132158872619,"Periodic Fixed"
"21","Periodic Fixed","PreTest",0.2568,0.5538,2.2116,-1.26591960838915,0.162874015128512,"Periodic Fixed"
