"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"19","Periodic Fadeout (SCT)","Chaotic Non-interactive",-4.10958904109589,-2.97517123287671,-31.6913347429377,-9.52054403108749,39.517896274653,5.8436815193572,-8.80972493993147,-16.453077106947,-14.6721975841297,4.17774846867207,4.11036933847155,19.5704897108423,-14.8785381066227,-1.25664301777083,1.50873986349819,0.736050862829523,0.736608267896655,0.0884955825486617
"19","Periodic Fixed","Chaotic Non-interactive",6.54646919939902,16.6258853831294,23.428685537417,95.9802306425041,-12.7001067235859,-40.2774813233725,11.0433313605412,21.1453931744157,16.7283411871527,19.5939607444893,-1.2987174974836,-6.14600932569586,-16.4057699895978,-27.918796903192,1.50873986349819,0.736050862829523,0.736608267896655,0.0884955825486617
"20","Chaotic","Chaotic Non-interactive",0.310332238043078,15.6078860898138,-11.7739157664005,-26.7496477219352,13.7761377613776,56.8265682656826,-0.603394927854123,1.20678985570826,-1.64579656417704,3.29159312835407,26.7571622708751,-0.427820847604449,9.90796386557535,96.6120167503673,1.50994241370735,0.737066767836839,0.675474507696803,0.106158777633497
"20","Chaotic Visual","Chaotic Non-interactive",-11.4958290481088,2.36544394926295,0.450196961170509,-2.25098480585256,-12.233827220468,4.74860335195531,-1.39571312887767,-0.697856564438836,-1.68746905543394,-0.843734527716972,-8.56712670053771,-15.4294764325284,-4.79042371406113,18.9659030980267,1.50994241370735,0.737066767836839,0.675474507696803,0.106158777633497
"20","Periodic Fadeout (SCT)","Chaotic Non-interactive",6.13890846448986,6.62438336856942,-2.01650576144504,-10.9701027717222,2.04841713221602,12.122905027933,2.93201005977426,-10.195310833512,0.957761582194501,2.9989732151161,12.4149570474901,-18.6226433314536,13.0144856274235,-0.415611433607127,1.50994241370735,0.737066767836839,0.675474507696803,0.106158777633497
"20","Periodic Fixed","Chaotic Non-interactive",-3.11306185483215,-20.848573518654,-2.76460614420782,-17.4497801534615,0.392596747055528,-4.87941671340437,-4.84319207821871,-9.15173807626755,-16.0481843275545,-15.0542679197816,8.82767130676627,28.2933765697282,0.759245740254726,13.5403753271708,1.50994241370735,0.737066767836839,0.675474507696803,0.106158777633497
"21","Chaotic","Periodic Fixed",9.48310948310949,16.4835164835165,-29.6190893169877,-19.4505253940455,55.4154302670623,49.6290801186944,0.40226328523609,0,1.09719770945136,0,17.8224923833458,18.0591426458376,67.1594840762696,-6.43767151043826,0.193249140408111,0.0348741275095468,0.418858902355829,0.104771812877963
"21","Chaotic Visual","Periodic Fixed",2.48723073506552,0.799467021985348,4.71441523118768,-16.0018132366274,-1.24450951683747,19.9414348462665,-0.207190370170063,-1.37058109107489,-0.628522625377269,-2.02984956063049,15.8379127260678,13.8294922520872,5.0480510878319,53.8462552869925,0.193249140408111,0.0348741275095468,0.418858902355829,0.104771812877963
"21","Periodic Fadeout (SCT)","Periodic Fixed",6.59948626753607,18.968583283936,-0.699276491155183,-33.4562259840067,5.80836108028118,81.1320754716981,-7.56746596109077,2.70002362217645,-29.2943067732715,-1.22377740054236,-25.9595234366122,-24.892515442247,-2.85368358903972,-4.756164723352,0.193249140408111,0.0348741275095468,0.418858902355829,0.104771812877963
"21","Periodic Fixed","Periodic Fixed",37.1132779583484,40.6644998194294,-17.1188279978296,-21.6947006691988,63.681204569055,80.607476635514,-8.70514997908991,-15.0491993650952,7.32153871732435,-14.147652974339,-12.4927175031697,-9.28902050499505,-0.29883087150844,15.7410103999635,0.193249140408111,0.0348741275095468,0.418858902355829,0.104771812877963
